28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28058004898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205022000035V00011V00043V00057V00062V00049V00018V00025V00049V00044R00059V00072V00073V00078V00075V00076V00067V00053V00043V00042V00044V00050V00058V00059V
28058004305902050220000.5V000.8V000.8V000.4V000.3V000.3V000.6V000.9V000.4V000.4V000.4V000.3V000.3V000.3V000.3V000.3V000.3V000.4V000.5V000.5V000.5V000.4V000.3V000.3V
28058004205902050220000.9V007.4V009.8V000.9V000.7V000.7V002.2V007.8V001.1V000.8V000.6V000.4V000.4V000.3V000.3V000.3V000.3V000.6V000.8V000.8V001.3V000.8V016.9V039.5V
28058004315902050220000.3V002.2V004.3V000.4V000.2V000.2V000.6V002.7V000.5V000.3V000.2V000.2V000.2V000.2V000.2V000.1V000.2V000.2V000.3V000.3V029.4V001.0V032.8V093.4V
2805800442020205022010.20V10.90V10.29V09.98V09.93V10.11V10.52V10.45V10.20V10.02V09.56V09.11V*****N08.51V08.49V08.64V09.07V09.51V09.69V10.14V09.78V09.57V10.85V10.14V
2805800444020205022000.77V01.02V00.68V00.65V00.60V00.59V00.78V00.75V00.50V00.75V01.01V01.26V*****N01.98V01.96V01.74V01.23V00.84V00.68V01.04V00.81V00.74V01.94V01.11V
2809200501380205022000001V00003V00004V00001V00003V00003V00004V00003V00005V00005V00004V00004V00003V00006V00005V00005V00003V00002V00006V00004V00002V00008V00005V00003V
2809200507080205022000003V00004V00004V00003V00003V00004V00008V00004V00009V00008V00004V00003V00003V00003V00003V00003V00004V00005V00008V00005V00007V00007V00004V00003V
2809200508080205022000007V00009V00009V00006V00007V00011V00019V00010V00017V00013V00007V00005V00006V00005V00005V00005V00008V00010V00015V00012V00016V00015V00008V00007V
28092005064802050220000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.4V000.5V000.5V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.6V000.4V000.4V000.4V
2809200510490205022000019V00011V00011V00006V00007V00013V00010V00007V00010V00028V00019V00011V00009V00007V00010V00010V00009V00011V00009V00009V00019V00027V00012V00009V
2809200514060205022000058V00055V00055V00059V00060V00052V00038V00052V00041V00047V00060V00067V00069V00071V00071V00068V00063V00057V00050V00053V00042V00042R00055V00052V
2809200582890205022000270V00293V00316V00316V00316V00317V00196V00284V00270V00238V00296V00315V00299V00293V00299V00320V00293V00270V00272V00248V00253V00276V00294V00298V
28092005818902050220003.9V003.1V003.2V003.1V003.0V002.0V001.2V002.7V001.8V002.4V003.5V004.2V004.9V004.8V004.8V005.9V004.2V004.2V003.9V003.4V002.8V004.3V004.9V004.3V
28092005838902050220006.4V005.2V004.7V004.3V003.9V003.0V002.6V003.5V003.8V004.8V007.1V008.7V009.3V010.7V010.9V010.1V010.4V009.6V008.5V007.7V007.3V007.2V006.6V005.8V
2809200586890205022000049V00051V00052V00055V00057V00061V00063V00059V00060V00057V00047V00039V00036V00033V00032V00033V00031V00034V00039V00041V00042V00043V00044V00048V
2809200587890205022000924V00924V00923V00923V00922V00922V00922V00922V00922V00922V00922V00922V00920V00919V00918V00918V00917V00917V00917V00916V00916V00916V00915V00915V
2809200588890205022000004V00004V00004V00004V00004V00004V00004V00008V00058V00157V00530V00570V00521V00622V00523V00169V00157V00037V00004V00004V00004V00004V00004V00004V
28092005898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205022000004V00004V00004V00004V00005V00004V00005V00004V00005V00008V00007V00006V00010V00006V00006V00006V00006V00003V00007V00008V00008V00006V00006V00006V
2814800407080205022000003V00003V00003V00003V00003V00003V00003V00004V00009V00011V00011V00008V00010V00006V00004V00004V00004V00003V00004V00006V00006V00004V00003V00003V
2814800408080205022000001V00001V00001V00001V00001V00001V00001V00011V00027V00019V00005V00001V00006V00001V00001V00001V00001V00004V00014V00033V00037V00026V00001V00001V
28148004064802050220000.2V000.2V000.1V000.2V000.1V000.2V000.2V000.2V000.3V000.3V000.3V000.2V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.3V000.3V000.2V000.2V
2814800410490205022000011V00011V00012V00009V00010V00015V00015V00014V00019V00027V00031V00030V00021V00024V00020V00016V00015V00015V00023V00028V00022V00016V00022V00012V
2814800414060205022000081V00082V00081V00083V00083V00081V00076V00053V00030R00040V00066V00078V00078V00087V00088V00081V00084V00067V00056V00035V00032V00043V00069V00073V
2814800482890205022000255V00099V00040V00182V00177V00100V00105V00268V00218V00213V00221V00238V00265V00230V00100V00337V00294V00293V00272V00292V00242V00168V00253V00022V
28148004818902050220004.2V004.5V003.8V005.8V004.1V003.6V002.8V001.9V001.9V002.2V003.1V003.9V002.9V004.3V006.6V005.8V003.5V003.5V003.9V002.2V002.4V002.4V005.2V004.5V
28148004838902050220005.6V005.1V004.8V004.6V004.1V003.8V003.6V003.2V002.7V003.3V006.5V008.3V010.1V010.9V010.5V009.9V010.5V009.4V008.8V008.0V007.9V007.4V006.9V005.9V
2814800486890205022000050V00051V00053V00055V00058V00059V00060V00062V00065V00064V00052V00044V00038V00035V00034V00033V00033V00036V00040V00042V00042V00041V00045V00049V
2814800487890205022000932V00931V00931V00930V00930V00930V00930V00930V00930V00930V00930V00929V00928V00927V00926V00925V00925V00924V00924V00923V00923V00923V00923V00922V
2814800488890205022000004V00004V00004V00004V00004V00004V00004V00004V00026V00132V00467V00542V00576V00555V00421V00111V00130V00006V00004V00004V00004V00004V00004V00004V
28148004898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050220000.2V000.2V000.1V000.2V000.2V000.2V000.1V000.2V000.2V000.3V000.3V000.2V000.2V000.2V000.1V000.1V000.2V000.2V000.2V000.2V000.3V000.3V000.1V000.2V
28148004205902050220000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V001.2V001.8V000.4V000.5V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.3V000.2V000.2V000.1V
28148004315902050220000.5V000.5V000.5V000.6V000.5V000.5V000.6V001.1V002.2V001.9V001.5V001.0V001.5V000.8V000.5V000.6V000.7V000.8V000.7V000.9V001.2V001.3V000.8V000.5V
2814800442020205022006.35V06.37V06.38V06.38V06.34V06.36V06.40V06.59R07.56R09.39V08.70V07.25V06.57V06.32V06.24V06.23V06.18V06.19V06.31V06.34V06.34V06.35V06.21V06.18V
2814800444020205022000.70V00.71V00.70V00.71V00.69V00.70V00.71V00.82R01.54R01.55V01.07V00.88V00.82V00.74V00.72V00.73V00.71V00.75V00.84V00.85V00.84V00.86V00.74V00.72V
2800700101380205022000007V00005V00004V00004V00004V00004V00004V00005V00006V00006V00007V00007V00007V00008V00006V00004V00005V00007V00009V00011V00008V00005R00006V00006V
2800700107080205022000039V00017V00012V00005V00003V00005V00006V00014V00016V00019V00017V00014V00019V00016V00014V00009V00013V00029V00027V00017V00029V00011R00009V00005V
2800700108080205022000067V00057V00048V00041V00031V00039V00038V00046V00044V00043V00033V00030V00032V00032V00028V00021V00032V00060V00062V00058V00061V00037R00038V00027V
28007001064802050220000.8V000.6V000.6V000.4V000.4V000.4V000.4V000.7V000.7V000.6V000.6V000.5V000.7V000.5V000.5V000.4V000.5V000.7V000.7V000.6V000.7V000.5R000.4V000.4V
2800700110490205022000025V00026V00025V00019V00018V00017V00013V00014V00025V00028V00039V00029V00016V00020V00018V00028V00031V00022V00023V00024V00023V00021V00023V00016V
2800700114060205022000026V00029V00044V00046V00057V00048V00050V00042V00043V00047V00062V00077V00074V00076V00079V00080V00066V00033V00029V00033V00029V00055R00049V00058V
2800700182890205022000305V00317V00317V00317V00316V00317V00317V00315V00316V00316V00316V00315V00315V00316V00316V00315V00316V00315V00316V00282V00316V00316V00316V00316V
28007001818902050220002.0V001.9V002.2V002.2V002.4V002.5V002.5V002.3V002.2V002.8V003.0V002.9V003.6V003.8V004.7V006.1V004.3V003.0V002.9V002.0V003.1V004.2V002.9V002.6V
28007001838902050220005.6V004.7V004.4V004.1V003.5V003.3V003.4V003.7V004.0V005.0V006.8V008.9V010.0V010.8V010.9V010.4V010.3V009.2V008.4V008.1V007.7V007.2V006.1V005.5V
2800700186890205022000056V00058V00057V00059V00062V00063V00062V00061V00062V00059V00051V00041V00040V00037V00036V00036V00036V00041V00044V00043V00044V00045V00050V00053V
2800700187890205022000919V00919V00918V00917V00917V00917V00917V00917V00917V00917V00917V00916V00915V00914V00913V00913V00912V00912V00911V00911V00910V00910V00910V00910V
2800700188890205022000004V00004V00004V00004V00004V00004V00004V00005V00037V00098V00355V00478V00518V00501V00433V00317V00153V00008V00004V00004V00004V00004V00004V00004V
28007001898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205022000006V00006V00007V00006V00005V00005V00007V00007V00008V00008V00008V00009V00010V00007V00006V00005V00006V00006V00009V00010V00009V00008V00006V00005V
2804900107080205022000003V00018V00018V00002V00001V00004V00027V00015V00021V00019V00013V00003V00003V00001V00001V00001V00001V00001V00001V00003V00001V00010V00002V00001V
2804900108080205022000022V00045V00051V00037V00018V00041V00060V00057V00064V00058V00042V00025V00028V00017V00011V00013V00014V00019V00031V00054V00046V00054V00023V00013V
28049001064802050220000.3V000.6V000.7V000.4V000.3V000.5V000.7V000.5V000.8V000.6V000.5V000.1V000.1V000.1V000.1V000.1V000.2V000.3V000.3V000.4V000.4V000.3V000.2V000.2V
2804900110490205022000014V00014V00019V00017V00016V00011V00013V00031V00025V00026V00027V00024V00012V00014V00015V00012V00012V00014V00020V00014V00019V00022V00016V00014V
2804900114060205022000057V00032V00028V00040V00058V00031V00015V00015V00015V00022V00042V00060V00061V00070V00074V00074V00071V00060V00048V00029V00039V00025V00059V00062V
2804900182890205022000153V00190V00103V00039V00272V00208V00281V00249V00220V00242V00242V00326V00297V00169V00178V00247V00315V00315V00299V00287V00316V00267V00256V00313V
28049001818902050220002.0V001.6V001.4V002.0V002.0V002.1V001.0V001.6V002.1V001.9V002.2V002.3V003.0V003.8V003.9V005.0V004.6V003.7V004.0V002.7V002.8V001.8V004.7V002.4V
28049001838902050220005.1V004.4V004.1V003.6V003.6V002.9V002.5V002.6V003.3V004.4V007.1V009.3V010.7V011.4V011.3V010.4V010.4V009.8V009.3V008.8V008.5V007.9V007.3V006.3V
2804900186890205022000055V00057V00058V00060V00061V00063V00065V00065V00063V00061V00051V00041V00036V00034V00032V00033V00034V00037V00040V00041V00040V00041V00044V00048V
2804900187890205022000928V00928V00927V00926V00926V00926V00926V00926V00926V00926V00926V00925V00924V00923V00922V00921V00921V00920V00920V00919V00919V00919V00919V00918V
2804900188890205022000004V00004V00004V00004V00004V00004V00004V00006V00041V00107V00392V00550V00560V00551V00345V00152V00126V00011V00004V00004V00004V00004V00004V00004V
28049001898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205022000002V00002V00002V00002V00002V00002V00002R00002R00002V00002V00002V00002V00002V00002V00002V00002V00002V00003V00002V00002V00002V00002V00002V00002V
2805100108080205022000005V00005V00005V00005V00005V00006V00007R00006R00007V00010V00006V00006V00006V00007V00006V00008V00010V00014V00013V00014V00012V00011V00009V00007V
28051001104902050220018.0V017.5V013.0V013.5V021.5V011.0V009.0V008.0V011.0V013.8V027.5V015.0V007.3V011.5V021.8V015.3V017.5V023.8V016.5V026.8V021.3V024.3V010.3V015.5V
2805100114060205022000070V00072V00071V00068V00070V00064V00063R00063R00062V00059V00071V00073V00072V00071V00074V00068V00064V00061V00063V00059V00059V00058V00056V00062V
28051001828902050220124.3V190.3V319.5V299.0V312.5V298.8V305.3V297.3V293.8V303.0V330.3V335.0V330.8V309.3V309.8V300.0V294.3V298.8V285.3V274.8V294.0V314.3V314.0V314.3V
28051001818902050220001.8V002.5V005.0V004.4V005.0V003.3V002.8V003.4V004.8V004.3V006.7V006.4V005.6V005.6V005.3V005.5V003.7V003.7V003.1V002.3V003.1V004.6V004.1V004.3V
28051001838902050220006.1V005.5V005.0V004.3V004.2V003.6V003.6V003.8V004.4V005.6V007.1V008.3V009.2V010.2V010.4V010.4V009.6V009.4V008.8V008.2V008.0V007.0V005.8V005.5V
28051001868902050220053.7V054.0V056.0V059.0V060.3V063.0V062.8V062.0V060.3V056.7V049.3V045.8V043.3V040.0V038.6V037.1V040.3V040.4V041.8V044.2V044.6V049.1V054.4V052.0V
2805100187890205022000925V00925V00924V00924V00923V00923V00923V00923V00923V00923V00922V00922V00921V00919V00919V00918V00917V00917V00917V00916V00916V00916V00916V00915V
2805100188890205022000004V00004V00004V00004V00004V00004V00004V00013V00083V00248V00538V00639V00567V00583V00494V00320V00048V00013V00004V00004V00004V00004V00004V00004V
28051001898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205022000002V00002V00002V00002V00002R00002V00006V00003V00003V00004V00004V00004V00004V00006V00002V00002V00002V00002V00002V00002V00004V00005V00005V00001V
2804500208080205022000003V00003V00003V00002V00004R00004V00010V00012V00007V00009V00005V00005V00007V00007V00004V00004V00005V00006V00007V00007V00009V00008V00008V00004V
28045002064802050220000.3V000.3V000.3V000.3V000.2R000.3V000.6V000.5V000.4V000.4V000.4V000.4V000.5V000.6V000.4V000.4V000.4V000.4V000.3V000.3V000.4V000.5V000.3V000.3V
2804500210490205022000011V00008V00007V00005V00002V00003V00008V00010V00011V00010V00010V00012V00010V00012V00012V00019V00017V00012V00021V00027V00012V00009V00010V00009V
2804500214060205022000094V00091V00095V00097V00094R00089V00067V00063V00073V00078V00088V00092V00092V00090V00096V00091V00085V00080V00077V00085V00077V00078V00083V00086V
2804500282890205022000079V00186V00225V00202V00028V00197V00181V00185V00197V00174V00179V00152V00040V00039V00237V00249V00247V00231V00241V00249V00203V00029V00034V00084V
28045002818902050220003.3V001.5V001.6V002.0V001.9V001.0V000.8V001.2V001.0V001.2V001.9V001.8V003.4V003.0V004.0V003.2V003.3V002.3V001.8V002.3V001.8V002.3V002.2V001.8V
28045002838902050220004.0V003.8V003.5V003.3V003.0V002.6V002.6V002.4V002.3V003.2V005.2V006.9V008.3V008.4V008.0V007.8V007.2V006.8V006.5V006.6V006.3V005.4V004.9V004.7V
2804500286890205022000055V00055V00056V00057V00059V00060V00061V00063V00064V00060V00052V00046V00040V00040V00042V00043V00047V00049V00048V00042V00044V00051V00050V00051V
2804500287890205022000896V00895V00895V00895V00894V00894V00894V00894V00894V00894V00894V00894V00893V00891V00891V00890V00889V00889V00888V00888V00887V00887V00886V00886V
2804500288890205022000004V00004V00004V00004V00004V00004V00004V00004V00030V00248V00527V00589V00648V00550V00578V00378V00096V00006V00004V00004V00004V00004V00004V00004V
28045002898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205022000009V00009V00009V00009V00008V00009V00008V00008V00009V00010V00011V00010V00010V00010V00009V00009V00010V00010V00009V00011V00010V00010V00009V00009V
2808000307080205022000009V00009V00009V00008V00008V00009V00008V00009V00010V00013V00014V00011V00010V00010V00009V00009V00010V00009V00011V00012V00009V00009V00010V00009V
2808000308080205022000025V00029V00013V00010V00009V00010V00010V00013V00011V00014V00012V00010V00009V00010V00010V00010V00011V00012V00014V00015V00009V00010V00018V00010V
28080003064802050220000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V
2808000310490205022000014V00014V00014V00007V00006V00006V00007V00009V00015V00016V00018V00016V00008V00007V00008V00020V00024V00018V00018V00012V00011V00015V00012V00005V
2808000314060205022000041V00033V00061V00068V00068V00064V00065V00058V00064V00057V00068V00075V00076V00073V00068V00067V00066V00065V00061V00063V00070V00067V00048V00062V
2808000382890205022000178V00233V00248V00337V00335V00334V00335V00257V00172V00258V00030V00183V00330V00336V00337V00180V00335V00331V00304V00299V00326V00335V00337V00322V
28080003818902050220001.7V001.7V001.6V003.1V002.5V002.2V002.2V003.3V003.5V003.0V002.3V004.1V005.4V006.1V007.7V006.8V005.1V004.9V003.6V003.5V005.1V005.8V004.3V004.2V
28080003838902050220008.1V007.1V006.6V005.9V005.0V004.7V004.8V005.5V006.1V006.7V008.9V010.0V011.0V011.3V011.1V011.2V011.3V010.6V010.1V009.9V009.7V008.5V007.6V006.9V
2808000386890205022000063V00066V00066V00069V00073V00075V00073V00072V00071V00069V00059V00055V00052V00051V00050V00048V00050V00052V00054V00053V00054V00058V00060V00065V
2808000387890205022000917V00917V00916V00916V00915V00915V00915V00915V00915V00915V00915V00915V00914V00913V00912V00912V00911V00911V00910V00910V00909V00909V00908V00908V
2808000388890205022000006V00006V00006V00007V00006V00007V00006V00012V00052V00148V00426V00591V00606V00575V00507V00339V00149V00026V00007V00008V00007V00007V00007V00007V
28080003898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205022000026V00026V00016V00006V00006V*****N00015V00017R00015V00026V00019V00005V00003V00003V00002V00002V00001V00001V00003V00004V00002V00002V00001V00001V
2801300208080205022000047V00050V00045V00033V00032V*****N00031V00026R00024V00031V00029V00011V00007V00009V00006V00007V00008V00013V00034V00035V00026V00021V00012V00012V
2801300210490205022000039V00046V00040V00031V00024V*****N*****N00029V00022V00024V00030V00027V00020V00018V00011V00011V00013V00014V00020V00022V00025V00024V00017V00007V
2801300214060205022000007V00008V00008V00012V00008V*****N00007V*****N00016V00020V00041V00080V00096V00101V00106V00105V00100V00086V00047V00043V00053V00056V00071V00066V
2801300282890205022000118V00207V00222V00146V00055V00107V00224V00158V00091V00029V00203V00231V00264V00248V00282V00275V00300V00309V00270V00254V00259V00243V00271V00248V
28013002818902050220000.9V000.9V000.5V000.4V000.3V000.4V000.5V000.5V000.7V000.6V001.1V001.6V001.9V002.4V002.4V003.2V003.2V002.3V001.4V001.7V001.9V001.6V002.5V002.8V
28013002838902050220003.4V004.0V003.0V000.8V000.3V-00.3V-00.8V-00.9V-00.4V002.5V005.9V008.9V010.1V011.0V011.9V012.3V012.0V011.0V009.8V009.2V008.6V008.4V008.2V006.7V
2801300286890205022000064V00062V00065V00073V00074V00076V00078V00078V00077V00069V00059V00048V00040V00037V00035V00034V00034V00036V00040V00042V00044V00045V00045V00050V
2801300287890205022000947V00947V00946V00946V00945V00945V00945V00945V00945V00945V00945V00944V00943V00942V00941V00941V00940V00940V00939V00939V00938V00938V00937V00937V
2801300288890205022000004V00004V00004V00004V00004V00004V00004V00020V00096V00229V00423V00606V00625V00589V00536V00358V00147V00021V00004V00004V00004V00004V00004V00004V
28013002898902050220000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205022000073V00068V00072V00066V00057V00068V00026V00014V00015V00023V00034V00055V00069V00071V00072V00078V00076V00061V00054V00048V00044V00028V00044V00066V
2802700114060205022000099V00099V00100V00101V00102V00101V00102V00098V00098V00100V00100V00099V00099V00094V00095V00093V00084V00084V00091V00093V00088V00083V00086V00084R
2806800114060205022000096V00093V00094V00098V00099V00093V00093V00094V00082V00085V00086V00094V00094V00097V00096V00085V00086V00085R00087V00093V00089V00079V00072V00077V
2813300114060205022000087V00089V00084V00082V00077V00072V00079V00080V00074V00083V00091V00092V00095V00098V00095V00090V00081V00086V00078V00041V00058V00078V00077V00076V
2806501201380205022100003V00003V00004V00003V00003V00005V00008V00008V00007V00006V00004V00003V00003V00004V*****N00003V00004V00005V00007V00006V00007V00009V00005V00004V
2806501207080205022100002V00001V00003V00003V00010V00057V00093V00090V00045V00042V00029V00032V00027V00037V*****N00036V00042V00048V00068V00052V00087V00034V00010V00004V
2806501208080205022100012V00010V00011V00016V00030V00075V00097V00093V00082V00059V00039V00034V00039V00052V*****N00049V00054V00075V00093V00096V00111V00089V00063V00051V
28065012064802050221000.3V000.3V000.3V000.3V000.5V001.0V001.3V001.2V000.8V000.7V000.4V000.5V000.7V000.7V*****N000.7V000.7V000.8V001.0V000.9V001.4V000.9V000.5V000.4V
2806501210490205022100016V00014V00017V00017V00009V00019V00022V00034V00051V00046V00046V00056V00059V00029V00038V00027V00024V00035V00030V00037V00027V00039V00026V00024V
2806501214060205022100066V00065V00062V00062V00050V00020V00012V00011V00022V00041V00072V00064V00060V00059V*****N00056V00052V00039V00016V00015V00004V00008V00023V00030V
2806501282890205022100321V00310V00244V00036V00030V00101V00023V00023V00041V00029V00112V00033V00029V00029V00253V00179V00101V00029V00337V00335V00335V00299V00276V00271V
28065012818902050221005.1V003.8V005.0V004.3V003.2V003.0V003.2V003.8V004.4V004.9V006.0V005.6V004.9V004.8V004.4V004.0V004.3V003.7V004.1V003.9V002.4V002.4V002.3V002.7V
28065012838902050221008.4V007.8V007.3V006.1V005.0V004.8V005.1V004.7V005.1V006.2V007.1V007.6V007.8V007.7V008.2V008.2V008.0V007.0V005.9V004.5V004.1V003.9V003.2V002.4V
2806501286890205022100052V00055V00058V00065V00073V00071V00061V00060V00058V00047V00035V00034V00031V00031V00031V00029V00027V00033V00040V00050V00054V00052V00053V00055V
2806501287890205022100918V00918V00917V00918V00918V00918V00918V00919V00919V00919V00919V00919V00918V00917V00917V00916V00916V00916V00917V00917V00917V00917V00917V00917V
2806501288890205022100004V00004V00004V00004V00004V00004V00004V00008V00104V00226V00366V00465V00298V00255V00359V00237V00126V00013V00004V00004V00004V00004V00004V00004V
28065012898902050221001.1V000.0V001.1V000.3V000.0V000.0V000.0V000.0V000.6V001.3V007.8V008.0V001.3V001.4V001.3V000.3V000.5V000.0V000.8V000.3V000.0V000.0V000.0V000.0V
28065012305902050221000.1V000.1V000.1V000.1V000.1V000.6V001.3V000.8V000.8V000.2V000.2V000.2V000.3V000.3V000.3V000.4V000.3V000.2V000.6V000.6V000.9V001.0V000.2V000.2V
28065012205902050221000.3V000.3V000.3V000.3V000.4V001.6V003.6V003.0V004.6V001.7V000.9V001.0V001.2V000.7V001.1V000.9V001.2V001.2V002.6V001.7V003.1V003.8V001.2V000.6V
28065012315902050221000.8V000.8V000.8V000.8V000.9V001.5V011.0V011.3V065.6V008.1V016.5V011.2V008.0V002.7V012.2V002.0V006.8V009.0V027.3V001.5V002.0V002.3V000.8V000.8V
2807400701380205022100003V00004V00004V00003V00002V00003V00003V00003V00005V00004V00002V00002V00003V00002V00002V00002V00002R00003V00004V00005V00005V00003V00004V00004V
2807400707080205022100001V00001V00001V00001V00002V00007V00012V00011V00018V00008V00005V00004V00004V00006V00008V00007V00008R00008V00029V00044V00046V00014V00008V00005V
2807400708080205022100003V00002V00002V00002V00018V00034V00047V00042V00053V00016V00006V00006V00007V00008V00013V00011V00019R00031V00067V00085V00083V00055V00053V00045V
28074007064802050221000.4V000.5V000.5V000.5V000.5V000.7V000.9V000.8V000.9V000.8V000.5V000.6V000.6V000.6V000.6V000.6V000.6R000.7V001.0V001.0V001.0V000.8V000.7V000.7V
2807400710490205022100011V00011V00020V00019V00008V00014V00020V00018V00022V00030V00014V00011V00020V00016V00017V00011V00017R00022V00023V00025V00032V00028V00023V00023V
2807400714060205022100072V00072V00067V00070V00060V00042V00038V00039V00030V00065V00079V00083V00081V00080V00077V00079V00073R00058V00023V00013V00009V00029V00026V00029V
2807400782890205022100299V00314V00314V00046V00157V00023V00023V00025V00023V00097V00102V00024V00024V00024V00096V00102V00231R00101V00320V00326V00282V00283V00246V00248V
28074007818902050221004.6V005.9V004.7V003.0V001.6V002.6V003.1V003.4V003.2V004.1V004.4V004.6V004.2V003.9V003.5V003.8V003.2R002.8V003.0V002.2V001.9V002.1V001.9V001.6V
28074007838902050221005.4V004.9V004.0V002.8V002.0V002.0V002.0V001.5V001.6V003.4V004.4V004.8V005.0V004.7V004.9V005.3V005.2R004.0V002.3V000.9V000.2V000.7V000.3V-00.4V
2807400786890205022100051V00054V00059V00065V00072V00066V00058V00059V00059V00045V00033V00031V00029V00030V00030V00026V00025R00032V00041V00053V00057V00051V00052V00054V
2807400787890205022100917V00916V00916V00916V00916V00917V00917V00917V00917V00917V00917V00917V00916V00916V00915V00915V00914R00915V00915V00915V00916V00916V00916V00916V
2807400788890205022100004V00004V00004V00004V00004V00004V00004V00009V00072V00431V00496V00540V00436V00244V00320V00295V00163R00023V00004V00004V00004V00004V00004V00004V
28074007898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205022100007V00006V00007V00006V00009V00011V00010V00012V00012V00008V*****N*****N00008V00006V00006V00006V00006R00006V00006V00009V00008V00008V00009V00011V
2800500207080205022100003V00002V00003V00004V00007V00025V00026V00019V00024V00029V*****N*****N00017V00019V00018V00022V00022R00012V00014V00015V00014V00019V00023V00062V
2800500208080205022100005V00004V00004V00005V00014V00045V00056V00044V00039V00034V*****N*****N00024V00023V00024V00034V00036R00024V00026V00030V00044V00060V00066V00073V
28005002064802050221000.6V000.5V000.6V000.7V001.8V000.9V000.9V001.0V000.8V000.7V*****N*****N000.7V000.7V000.7V000.8V001.0R000.9V000.9V001.8V001.1V001.2V001.1V001.0V
2800500210490205022100023V00022V00023V00019V00020V00029V00040V00025V00026V00042V00064V00087V00042V00060V00108V00120V00257R00162V00035V00029V00027V00027V00035V00027V
2800500214060205022100059V00058V00065V00063V00052V00028V00013V00027V00031V00044V*****N*****N00062V00060V00064V00056V00053R00060V00052V00044V00031V00014V00006V00001V
2800500282890205022100068V00079V00079V00051V00029V00069V00079V00113V00069V00041V00062V00079V00045V00247V00248V00102V00030R00023V00022V00023V00119V00175V00209V00217V
28005002818902050221003.0V003.2V003.5V003.5V003.7V003.6V003.7V002.3V002.3V003.3V003.2V003.8V004.3V004.5V004.3V004.8V005.1R005.2V004.7V003.3V001.8V001.5V001.4V001.6V
28005002838902050221005.9V005.3V004.4V003.5V002.6V001.9V001.2V001.4V002.1V003.1V004.4V005.0V005.1V004.7V005.6V005.8V005.6R004.0V002.0V001.1V000.9V000.2V-00.7V-01.8V
2800500286890205022100054V00059V00059V00060V00067V00069V00069V00065V00059V00050V00038V00029V00031V00034V00029V00026V00029R00033V00049V00055V00055V00058V00062V00066V
2800500287890205022100946V00947V00946V00946V00946V00947V00947V00948V00948V00948V00947V00947V00947V00946V00945V00945V00945R00945V00946V00946V00946V00946V00946V00946V
2800500288890205022100004V00004V00004V00004V00004V00004V00004V00029V00097V00212V00422V00346V00287V00273V00414V00191V00164R00017V00004V00004V00004V00004V00004V00004V
