28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2805100107080205032900002V00002V00002V00002V00002V00002V00004V00006V00003V00002V00002V00003V00002V00002V00003V00002V00002V00002V*****N00002R00002V00002V00002V00002V
2805100108080205032900004V00005V00004V00005V00005V00011V00021V00021V00008V00005V00004V00009V00006V00006V00009V00005V00006V00008V*****N00010R00010V00007V00005V00005V
28051001104902050329018.0V015.0V012.0V009.0V016.0V015.0V013.0V013.0V016.0V018.0V014.0V016.0V014.0V021.0V019.3V017.0V012.0V013.0V017.0V024.0V016.0V016.0V013.0V013.0V
2805100114060205032900055V00050V00050V00045V00047V00045V00037V00039V00062V00054V00058V00061V00071V00071V00069V00074V00077V00081V*****N*****N00084V00086V00085V00086V
28051001828902050329224.0V244.5V219.8V250.5V250.3V268.5V268.3V263.0V231.3V179.8V174.8V236.0V277.0V243.3V242.5V243.0V279.8V294.5V294.0V293.8V295.3V325.5V315.0V312.8V
28051001818902050329002.8V001.5V001.6V002.7V002.8V003.0V003.1V003.4V003.5V004.8V004.5V003.3V002.9V003.5V005.5V004.1V004.8V004.8V004.2V004.2V004.0V003.5V003.3V004.2V
28051001838902050329009.8V009.6V009.4V008.8V008.8V009.3V009.4V011.1V012.7V012.1V012.7V015.3V016.7V016.5V017.1V016.8V017.4V016.8V015.3V014.3V013.6V012.6V011.8V011.6V
28051001868902050329100.0V100.0V100.0V100.0V100.0V100.0V100.0V088.1V071.9V097.2V089.1V066.7V051.9V051.8V049.2V049.9V042.9V041.7V045.8V049.6V049.3V052.6V055.6V057.4V
2805100187890205032900925V00925V00924V00924V00924V00924V00925V00925V00925V00925V00926V00926V00925V00925V00925V00925V00925V00926V00926V00927V00928V00928V00928V00928V
2805100188890205032900004V00004V00004V00004V00004V00004V00013V00199V00367V00358V00252V00574V00390V00314V00512V00243V00186V00097V00006V00004V00004V00004V00004V00004V
28051001898902050329000.0V000.0V000.0V000.0V000.3V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205032900001V00001V00001V00001V00001V00002V*****N*****N00005R00005V00002V00004V00003V00002V00004V00003V00003R00004V00004V00006V00003V00004V00003V00004V
2804500208080205032900012V00010V00010V00011V00014V00014V*****N*****N00008R00009V00005V00003V00005V00004V00006V00008V00007R00007V00019V00010V00008V00010V00008V00004V
28045002064802050329000.2V000.2V000.2V000.2V000.2V000.2V*****N*****N000.5R000.6V000.6V000.6V000.6V000.6V000.6V000.6V000.6R000.6V000.7V000.6V000.5V000.6V000.5V000.4V
2804500210490205032900008V00009V00008V00005V00007V00007V00008V*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N00010R00006V00017V00011V00011V00010V00005V
2804500214060205032900078V00083V00065V00065V00063V00069V*****N*****N00061R00068V00083V00092V00097V00104V00104V00107V00104R00108V00100V00107V00109V00102V00106V00108V
2804500282890205032900209V00223V00203V00203V00219V00232V00236V00214V00220V00225V00248V00247V00252V00258V00247V00247V00248V00236V00214V00222V00242V00220V00237V00258V
28045002818902050329001.4V002.0V001.5V001.9V001.6V002.0V001.7V001.9V001.8V001.4V003.1V003.4V003.7V003.9V003.6V003.8V003.0V002.7V002.2V002.8V002.8V001.6V002.5V002.9V
28045002838902050329008.5V009.0V007.9V007.8V007.9V008.8V009.4V010.2V012.4V012.3V012.1V013.8V014.3V015.3V015.8V015.3V014.9V014.6V013.4V012.5V011.6V011.1V010.6V010.5V
2804500286890205032900092V00087V00100V00100V00100V00094V00081V00081V00058V00058V00064V00055V00051V00046V00045V00042V00045V00045V00048V00052V00056V00057V00060V00060V
2804500287890205032900897V00897V00896V00896V00896V00896V00896V00897V00898V00898V00898V00898V00898V00898V00898V00898V00898V00899V00899V00900V00900V00900V00901V00900V
2804500288890205032900004V00004V00004V00004V00004V00004V00017V00284V00568V00198V00380V00831V00693V00722V00680V00337V00153V00150V00010V00004V00004V00004V00004V00004V
28045002898902050329000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205032900007V00007V00008V00008V00008V00008V00008V00007V00008V00008V00008V*****N00009R00009V00010V00009V00010V00009V00009V00010V00009V00009V00009V00009V
2808000307080205032900008V00008V00009V00009V00009V00010V00011V00011V00012V00010V00012V*****N00009R00010V00011V00013V00011V00011V00010V00011V00010V00009V00009V00009V
2808000308080205032900007V00006V00007V00007V00008V00011V00014V00011V00010V00009V00011V*****N00008R00009V00010V00015V00013V00011V00013V00017V00021V00011V00009V00009V
28080003064802050329000.4V000.4V000.5V000.4V000.4V000.4V000.5V000.4V000.5V000.5V000.5V*****N000.5R000.5V000.5V000.5V000.5V000.5V000.4V000.5V000.5V000.4V000.5V000.4V
2808000310490205032900008V00008V00010V00007V00005V00006V00006V00006V00009V00010V00009V00018V00024V00011V00010V00014V00023V00024V00016V00010V00010V00009V00009V00009V
2808000314060205032900057V00065V00063V00062V00058V00043V00030V00037V00052V00063V00061V*****N*****N00076V00074V00076V00078V00086V00080V00078V00068V00088V00094V00091V
2808000382890205032900270V00272V00270V00271V00269V00274V00277V00279V00265V00277V00286V00315V00291V00271V00286V00336V00331V00336V00335V00327V00336V00324V00326V00325V
28080003818902050329003.6V003.7V003.7V004.3V004.5V003.7V003.7V004.8V004.3V003.6V003.7V004.5V004.9V005.1V005.5V005.9V006.5V006.8V005.0V003.0V002.5V004.0V002.5V003.1V
28080003838902050329012.0V012.0V012.1V011.7V011.6V011.6V011.8V012.3V014.3V015.5V016.0V016.2V018.0V018.0V018.7V019.6V018.7V018.4V016.9V015.7V014.7V014.1V013.8V013.2V
2808000386890205032900100V00100V00100V00100V00100V00100V00100V00100V00087V00077V00076V00067V00067V00067V00065V00048V00050V00051V00053V00057V00061V00062V00065V00068V
2808000387890205032900918V00918V00917V00917V00917V00917V00918V00918V00918V00918V00919V00918V00918V00918V00918V00918V00918V00919V00919V00920V00921V00921V00921V00921V
2808000388890205032900010V00009V00009V00009V00010V00010V00017V00158V00441V00317V00247V00509V00542V00466V00517V00381V00126V00098V00014V00009V00009V00009V00010V00009V
28080003898902050329000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205032900001V00001V00001V00001V00001V00007V00017V00008V00009V00013V00011V00010V*****N*****N00006V00004V00003V00005R00002V00002R00001V00001V00002V00002V
2801300208080205032900010V00017V00007V00007V00009V00034V00042V00029V00023V00021V00019V00019V*****N*****N00015V00013V00013V00021R00022V00025R00013V00013V00026V00022V
2801300210490205032900014V00011V00010V00010V00016V00014V00016V00019V00022V00025V00024V00015V00021V00016V00025V00024V00026V00023V00023V00020V00020V00019V00018V00023V
2801300214060205032900066V00052V00059V00065V00062V00032V00022V00041V00029V00049V00064V00074V*****N00091R00091V00094V00088V00078R00073V00065R00078V00071V00057V00059V
2801300282890205032900204V00221V00209V00220V00225V00243V00248V00249V00248V00248V00249V00243V00248V00248V00254V00254V00259V00259V00254V00264V00248V00232V00233V00254V
28013002818902050329002.2V001.5V001.6V002.1V002.1V002.3V002.8V002.9V003.2V003.1V003.4V003.4V003.4V004.1V004.1V004.4V004.4V003.6V003.3V003.6V002.2V002.0V002.7V001.6V
28013002838902050329011.4V011.4V011.4V011.6V011.5V011.5V011.6V011.6V012.3V013.8V015.1V016.1V017.3V018.2V018.6V018.6V018.2V018.1V017.1V016.2V015.4V014.4V013.8V012.8V
2801300286890205032900098V00100V00100V00100V00100V00099V00098V00096V00090V00079V00070V00064V00056V00053V00051V00050V00052V00053V00057V00059V00064V00069V00064V00068V
2801300287890205032900948V00948V00947V00947V00947V00947V00947V00948V00949V00949V00949V00949V00949V00948V00948V00948V00948V00948V00948V00949V00950V00950V00951V00951V
2801300288890205032900004V00004V00004V00004V00004V00004V00006V00040V00189V00547V00770V00796V00758V00804V00621V00400V00283V00130V00007V00004V00004V00004V00004V00004V
28013002898902050329000.7V000.0V000.2V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205032900051V00049V00047V00048V00044V00027V00026V00020V00039V00054V00056V00061V00068V00075V00073V00074V00072V00070V00061V00069V00072V00068V00062V00065V
2802700114060205032900036V00032V00035V00056V00061V00062V00090V00098V00100V00095V00096R00096V00102V00102V00105V00105V00110V00111V00111V00111V00112V00114V00116V00115V
2806800114060205032900045V00058V00067V00072V00084R00081V00082V00086V00085V00088V00089V00092V00099V00102V00104V00100V00106V00109V00111V00102V00091V00087V00098V00099V
2813300114060205032900024V00020V00017V00008V00007V00004V00004V00017V00051V00078V00078V00078V00089V00091V00089V00092V00106V00098V00101V00090V00100V00102V00090V00079V
2806501201380205033000002V00002R00002V00002V00004V00006V00005V00003V00003V00002V00002V00002V00002V00002V00002V00002V00003V00003V00003V00004V00005V00004V00002V00002V
2806501207080205033000001V00001R00002V00013V00083V00108V00072V00049V00037V00024V00017V00016V00023V00025V00021V00021V00035V00042V00052V00056V00074V00030V00003V00001V
2806501208080205033000009V00014R00024V00045V00104V00111V00099V00079V00057V00042V00035V00033V00039V00041V00043V00049V00059V00070V00088V00091V00103V00080V00047V00027V
28065012064802050330000.3V000.3R000.4V000.5V001.0V001.3V001.0V000.8V000.6V000.5V000.5V000.5V000.6V000.6V000.6V000.6V000.7V000.8V000.9V001.1V000.9V000.6V000.4V000.4V
2806501210490205033000010V00012V00009V00016V00017V00027V00038V00034V00038V00027V00027V00022V00016V00024V00018V00017V00014V00016V00024V00027V00024V00029V00022V00017V
2806501214060205033000097V00085R00070V00049V00006V00002V00012V00027V00049V00064V00071V00075V00068V00064V00064V00054V00044V00038V00016V00011V00001V00008V00027V00042V
2806501282890205033000320V00257V00179V00335V00335V00310V00315V00330V00179V00247V00325V00321V00325V00334V00322V00316V00253V00101V00337V00180V00193V00282V00272V00310V
28065012818902050330003.6V003.7V002.4V003.3V002.6V001.9V002.6V003.2V003.0V004.1V005.2V005.1V005.3V006.1V005.2V004.1V004.4V003.5V003.7V002.4V001.6V002.1V002.7V002.6V
28065012838902050330014.3V013.3V012.6V012.3V012.1V011.9V013.0V015.0V016.5V017.6V018.8V020.0V021.2V021.0V021.3V020.8V020.5V020.2V019.6V018.9V018.1V017.4V016.7V016.0V
2806501286890205033000059V00063V00065V00066V00066V00067V00064V00059V00055V00053V00049V00047V00047V00048V00047V00049V00051V00053V00055V00057V00060V00063V00067V00070V
2806501287890205033000931V00931V00931V00931V00931V00931V00931V00931V00932V00932V00932V00931V00931V00930V00930V00930V00930V00931V00931V00931V00931V00931V00931V00931V
2806501288890205033000004V00004V00004V00004V00004V00004V00037V00179V00380V00487V00577V00645V00679V00557V00374V00177V00126V00046V00004V00004V00004V00004V00004V00004V
28065012898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050330000.1V000.1V000.1V000.1V000.8V000.9V000.7V000.2V000.2V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.5V000.6V000.8V000.7V000.2V000.1V
28065012205902050330000.4V000.3V000.4V000.4V002.3V003.9V003.3V001.9V001.8V002.3V000.6V000.6V000.8V001.0V003.0V003.8V001.8V001.5V001.8V002.4V003.5V003.2V001.4V001.0V
28065012315902050330000.8V000.8V000.8V000.8V001.3V002.5V002.2V001.0V001.0V001.3V000.8V000.8V000.8V000.8V003.1V005.0V001.3V001.1V001.1V001.8V003.0V011.7V001.0V000.8V
2807400701380205033000001V00001V00001V00001V00001V00006V00004V00001V00001V00001V00001V00001V00001V00001V00001V00001V00001V00001V00002V00001V00002V00001V00001V00001V
2807400707080205033000001V00001V00001V00016V00049V00166V00097V00017V00011V00010V00009V00012V00009V00011V00010V00013V00013V00018V00031V00026V00061V00027V00008V00002V
2807400708080205033000002V00003V00004V00043V00078V00118V00102V00044V00027V00013V00012V00019V00009V00011V00015V00027V00028V00046V00066V00067V00087V00064V00047V00020V
28074007064802050330000.4V000.4V000.4V000.6V000.8V001.5V001.2V000.7V000.5V000.6V000.5V000.6V000.6V000.5V000.6V000.6V000.6V000.8V000.9V000.9V000.9V000.8V000.7V000.5V
2807400710490205033000017V00013V00012V00017V00024V00070V00109V00099V00030V00043V00038V00043V00072V00042V00046V00056V00045V00033V00026V00037V00030V00051V00029V00020V
2807400714060205033000087V00072V00065V00029V00012V00003V00008V00042V00056V00067V00069V00066V00072V00069V00067V00055V00051V00037V00019V00015V00004V00008V00019V00038V
2807400782890205033000308V00314V00335V00282V00310V00243V00287V00271V00286V00316V00309V00304V00314V00314V00313V00314V00321V00321V00310V00237V00316V00259V00254V00271V
28074007818902050330004.8V001.7V002.3V000.9V001.6V001.3V001.8V001.6V002.5V004.2V003.5V004.2V005.6V005.2V004.9V003.4V003.2V002.4V002.1V002.0V001.2V001.2V001.8V002.0V
28074007838902050330010.9V009.4V008.7V008.0V008.1V007.4V009.1V012.0V012.7V014.5V016.0V016.6V017.5V017.9V017.9V017.7V017.8V017.5V016.6V015.4V014.1V014.1V013.8V013.6V
2807400786890205033000059V00065V00068V00070V00069V00072V00064V00055V00054V00051V00047V00045V00045V00046V00045V00047V00048V00050V00053V00057V00062V00063V00064V00066V
2807400787890205033000929V00929V00929V00929V00929V00929V00930V00929V00929V00930V00930V00929V00929V00929V00929V00929V00929V00929V00929V00929V00929V00929V00930V00929V
2807400788890205033000004V00004V00004V00004V00004V00004V00005V00226V00173V00535V00691V00576V00776V00647V00391V00202V00145V00061V00005V00004V00004V00004V00004V00004V
28074007898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205033000003V00003V00004V00005V00012V00012V00019V00012V00009V00007V00003V00004V00003V00003V00004V00003V00003V00004V00004V00005V00007V00008V00003V00004V
2800500207080205033000013V00003V00018V00047V00164V00171V00251V00059V00027V00022V00010V00013V00011V00016V00019V00022V00022V00025V00013V00042V00067V00094V00007V00037V
2800500208080205033000061V00030V00044V00062V00085V00088V00107V00065V00050V00043V00020V00021V00023V00022V00035V00040V00046V00048V00047V00075V00085V00083V00042V00058V
28005002064802050330000.8V000.4V000.6V000.8V001.6V002.2V002.4V001.2V000.8V000.6V000.4V000.4V000.4V000.4V000.6V000.4V000.6V000.6V000.5V000.8V001.2V001.3V000.6V000.7V
2800500210490205033000016V00015V00011V00024V00032V00047V00057V00087V00041V00039V00025V00018V00014V00015V00044V00482V00640V00046V00026V00027V00037V00040V00052V00027V
2800500214060205033000008V00030V00014V00007V00002V00001V00001V00007V00030V00039V00061V00060V00062V00060V00047V00038V00035V00034V00029V00009V00001V00001V00012V00002V
2800500282890205033000181V00172V00175V00154V00130V00156V00158V00144V00249V00204V00263V00249V00299V00253V00029V00024V00022V00334V00085V00286V00158V00197V00182V00181V
28005002818902050330001.0V001.1V000.9V001.3V001.3V001.0V001.1V001.5V001.9V001.8V003.0V003.5V004.1V004.1V004.3V003.7V003.3V003.9V002.2V001.9V001.1V001.6V001.4V001.1V
28005002838902050330010.6V009.9V009.4V008.5V007.7V007.2V007.2V010.3V013.0V014.7V016.0V017.0V018.1V019.0V018.3V017.8V017.9V017.9V017.3V015.8V014.5V013.2V012.6V011.1V
2800500286890205033000062V00066V00070V00075V00079V00081V00081V00067V00052V00044V00038V00037V00037V00033V00038V00041V00041V00041V00044V00051V00057V00062V00063V00071V
2800500287890205033000959V00960V00960V00959V00959V00959V00960V00960V00960V00961V00960V00960V00959V00959V00959V00959V00959V00959V00959V00960V00960V00960V00960V00960V
2800500288890205033000004V00004V00004V00004V00004V00004V00029V00179V00342V00490V00608V00485V00633V00490V00156V00037V00025V00013V00004V00004V00004V00004V00004V00004V
28005002898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205033000010V00032V00016V00008V00002V00001V00002V00009V00031V00039V00061V00060V00062V00059V00048V00038V00036V00035V00030V00014V00001V00002V00014V00003V
2800600401380205033000003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V00003V
2800600407080205033000004V00004V00004V00004V00004V00012V00022V00009V00008V00007V00005V00005V00005V00005V00005V00005V00005V00011V00006V00014V00015V00031V00021V00009V
2800600408080205033000019V00016V00013V00015V00023V00056V00078V00041V00028V00026V00023V00020V00022V00018V00019V00020V00025V00034V00046V00074V00063V00078V00068V00053V
28006004064802050330000.4V000.4V000.4V000.3V000.3V000.5V000.8V000.6V000.5V000.5V000.5V000.5V000.6V000.6V000.5V000.5V000.6V000.7V000.7V000.6V000.6V000.6V000.6V000.4V
2800600410490205033000008V00012V00011V00007V00007V00009V00015V00021V00012V00010V00005V00004V00006V00007V00006V00006V00005V00005V00007V00016V00017V00011V00026V00017V
2800600414060205033000075V00078V00076V00074V00066V00035V00021V00055V00069V00069V00075R00075V00075V00080V00077V00076V00070V00058V00045V00013V00023V00005V00011V00015V
2800600482890205033000253V00249V00269V00243V00294V00264V00259V00249V00308V00204V00232V00254V00305V00304V00316V00316V00317V00310V00326V00243V00286V00186V00280V00181V
28006004818902050330002.0V002.8V003.2V003.1V002.0V002.3V003.2V003.0V002.0V002.0V003.2V004.3V003.9V004.1V003.5V004.7V004.4V003.1V002.7V001.1V001.8V001.3V001.8V001.3V
28006004838902050330009.5V009.5V008.7V008.7V008.5V008.3V008.4V010.5V012.4V014.2V015.3V015.8V016.8V017.5V018.0V017.9V017.4V017.1V016.4V014.7V013.9V013.3V012.5V011.7V
2800600486890205033000073V00073V00076V00073V00072V00071V00071V00067V00061V00059V00058V00058V00057V00056V00056V00056V00057V00058V00060V00066V00070V00072V00077V00082V
2800600487890205033000945V00945V00945V00945V00945V00945V00945V00945V00946V00946V00946V00945V00945V00945V00945V00945V00945V00945V00945V00946V00946V00946V00946V00946V
2800600488890205033000004V00004V00004V00004V00004V00004V00040V00208V00385V00546V00651V00365V00360V00337V00434V00273V00154V00069V00006V00004V00004V00004V00004V00004V
28006004898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050330000.8V000.8V000.7V000.7V000.8V000.9V001.1V001.0V000.8V000.8V000.8V000.7V000.8V000.8V000.8V000.8V000.8V000.8V001.0V001.0V001.2V001.0V001.2V001.0V
28006004205902050330001.0V001.3V001.1V000.9V001.1V001.4V002.6V002.2V001.2V000.9V001.2V001.3V001.2V000.9V000.7V000.9V001.1V001.1V001.8V003.2V005.0V005.3V006.8V005.7V
28006004315902050330000.5V000.6V000.5V000.5V000.6V000.7V001.4V001.1V000.8V000.5V000.6V000.7V000.7V000.6V000.4V000.6V000.6V000.7V001.1V002.0V003.5V003.5V003.7V002.5V
2800600442020205033005.35V05.37V05.30V05.30V04.94V04.84V05.03V04.79V04.72V04.74V04.57V04.56V04.56V04.65V04.95V05.06V05.09V05.16V05.26V05.67V05.54V06.02V05.45V05.19V
2800600444020205033000.42V00.44V00.39V00.42V00.15V00.18V00.41V00.21V00.09V00.04V00.01V00.01V00.01V00.01V00.09V00.13V00.19V00.24V00.33V00.68V00.53V01.01V00.59V00.49V
2805800401380205033000004V00004V00004V00004V00004V00004V00004V*****N*****N00005V00004V00004V00005V00004V00004V00004V00005V00004V00005V00004V00005V00003V00003V00004V
2805800407080205033000001V00001V00001V00002V00003V00005V00008V*****N*****N00006V00006V00005V00005V00005V00004V00004V00004V00004V00009V00007V00008V00003V00004V00002V
2805800408080205033000010V00009V00011V00013V00023V00039V00048V*****N*****N00020V00020V00018V00019V00020V00020V00021V00025V00032V00053V00059V00062V00037V00026V00017V
28058004064802050330000.2V000.2V000.2V000.2V000.3V000.4V000.4V*****N*****N000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.5V000.6V000.5V000.3V000.2V000.2V
2805800410490205033000007V00007V00006V00007V00007V00004V00009V00015V00009V00010V00010V00017V00007V00005V00003V00006V00008V00007V00008V00016V00013V00016V00011V00010V
2805800414060205033000089V00086V00080V00078V00066V00049V00040V*****N*****N00072V00075V00077V00073V00072V00074V00068V00065V00056V00031V00024V00019V00036V00044V00051R
2805800482890205033000255V00186V00147V00079V00113V00080V00185V00248V00186V00236V00163V00287V00208V00102V00175V00147V00186V00215V00067V00331V00249V00238V00220V00191V
28058004818902050330002.6V002.9V002.0V003.5V003.6V002.8V002.7V002.1V002.9V003.4V003.6V003.5V003.5V003.2V003.5V003.0V003.0V002.4V002.8V002.7V001.7V001.4V001.4V001.2V
28058004838902050330012.0V011.4V010.6V010.8V010.4V010.0V010.6V012.5V013.9V015.4V016.6V018.0V018.1V019.2V018.7V018.3V018.6V017.8V017.0V016.3V015.8V014.8V014.1V014.0V
2805800486890205033000058V00062V00065V00062V00064V00066V00065V00060V00056V00052V00046V00042V00045V00043V00044V00046V00047V00050V00055V00058V00061V00065V00070V00072V
2805800487890205033000925V00925V00925V00924V00924V00925V00925V00925V00925V00926V00925V00925V00925V00925V00925V00925V00925V00925V00925V00925V00925V00925V00926V00925V
2805800488890205033000004V00004V00004V00004V00004V00004V00038V00176V00328V00454V00568V00643V00572V00561V00320V00185V00175V00044V00004V00004V00004V00004V00004V00004V
28058004898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205033000090V00088V00081V00080V00068V00053V00043V00037R00024R00072V00076V00076V00073V00072V00074V00069V00065V00057V00034V00026V00022V00039V00046V00051R
28058004305902050330000.2V000.2V000.2V000.2V000.3V000.4V000.5V000.5V000.5V000.4V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.5V000.6V000.9V000.9V000.5V000.4V000.2V
28058004205902050330000.3V000.3V000.5V000.5V000.6V000.8V001.0V001.3V001.5V001.0V000.7V000.6V000.6V000.9V001.1V001.8V000.8V001.5V002.0V002.8V004.4V002.5V003.2V000.5V
28058004315902050330000.2V000.2V000.2V000.2V000.2V000.3V000.4V000.6V004.7V001.8V000.3V000.3V000.2V000.3V000.4V000.8V000.3V000.6V000.6V001.1V001.8V001.2V001.3V000.2V
2805800442020205033010.24V10.22V10.29V10.27V10.26V10.37V10.43V*****N*****N08.78V08.33V07.99V07.73V07.68V07.63V07.87R08.81R08.82V09.00V09.17V09.20V09.15V08.96V08.65V
2805800444020205033002.34V02.36V02.31V02.33V02.37V02.40V02.48V*****N*****N03.78V04.01V04.20V04.42V04.48V04.49V06.82R03.56R03.69V03.87V03.91V03.94V03.80V03.79V03.85V
2809200501380205033000002V00003V00007V00008V00005V00005V00005V00003V00002V00005R00006V00003V00008V00009V00003V00004V00004V00010V00006V00003V00001V00001V00001V00009V
2809200507080205033000001V00001V00001V00001V00003V00005V00010V00007V00005V00004R00004V00004V00003V00006V00007V00005V00005V00014V00020V00030V00020V00008V00010V00007V
2809200508080205033000002V00002V00002V00002V00007V00008V00015V00010V00006V00007R00006V00006V00005V00008V00010V00006V00009V00019V00027V00038V00025V00015V00019V00012V
28092005064802050330000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.3R000.3V000.3V000.3V000.3V000.4V000.3V000.3V000.4V000.4V000.6V000.4V000.3V000.3V000.3V
2809200510490205033000009V00009V00010V00009V00008V00006V00005V00010V00011V00008V00009V00014V00009V00005V00008V00007V00008V00008V00009V00020V00027V00015V00012V00015V
2809200514060205033000082V00079V00078V00076V00067V00064V00052V00062V00067V00069R00072V00073V00070V00068V00064V00066V00061V00045V00029V00009V00032V00040V00029V00040V
2809200582890205033000275V00281V00277V00269V00271V00254V00264V00266V00276V00294V00276V00282V00293V00299V00288V00271V00276V00298V00326V00283V00286V00232V00231V00249V
28092005818902050330006.0V006.6V006.7V006.5V005.0V004.8V003.6V004.1V004.7V005.6V005.6V006.1V006.8V006.4V005.2V005.0V004.7V003.7V002.3V001.5V002.7V002.4V002.3V002.8V
28092005838902050330011.8V011.2V010.8V010.6V010.1V009.7V010.1V011.8V013.6V014.1V015.5V016.8V017.6V018.2V017.8V017.5V017.5V017.3V016.6V015.3V015.6V014.9V013.5V013.3V
2809200586890205033000052V00056V00056V00055V00058V00059V00059V00054V00050V00048V00043V00040V00042V00040V00041V00043V00044V00046V00050V00054V00053V00056V00063V00065V
2809200587890205033000927V00927V00927V00927V00927V00927V00928V00927V00928V00928V00928V00927V00927V00927V00927V00927V00927V00927V00927V00928V00928V00928V00928V00928V
2809200588890205033000004V00004V00004V00004V00004V00004V00046V00225V00432V00356V00566V00834V00890V00733V00274V00181V00140V00056V00006V00004V00004V00004V00004V00004V
28092005898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205033000003V00003V00003V00003V00003V00009V00012V00016V00012V00005V00003V00003V00003V00003V00003V00003V00003V00003V00003V00006V00005V00004V00005V00005V
2814800407080205033000005V00004V00003V00004V00013V00114V00119V00143V00064V00017V00008V00008V00006V00004V00004V00004V00005V00005V00015V00044V00052R00036V00049V00011V
2814800408080205033000045V00028V00012V00030V00063V00082V00083V00091V00075V00036V00020V00020V00013V00012V00015V00017V00032V00035V00069V00086V00085R00073V00069V00045V
28148004064802050330000.5V000.5V000.5V000.5V000.7V001.4V001.4V001.3V000.9V000.6V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.6V000.9V000.8R000.9V000.8V000.6V
28148004104902050330*****N*****N*****N*****N*****N*****N*****N*****N00090V00055V00030V00028V00017V00017V00017V00018V00030V00043V00036V00038V00030V00029V00036V00039V
2814800414060205033000056V00076V00092V00068V00026V00011V00014V00016V00033V00073V00092V00095V00101V00098V00096V00090V00072V00068V00028V00015V00011R00011V00011V00025V
2814800482890205033000228V00226V00247V00238V00165V00297V00100V00337V00186V00254V00282V00226V00215V00303V00249V00277V00282V00248V00297V00307V00225V00278V00058V00248V
28148004818902050330002.5V002.8V004.2V002.7V001.5V001.4V002.2V002.4V001.7V002.8V002.7V003.4V004.3V005.0V003.3V002.9V003.0V002.9V001.7V002.5V001.7V001.6V001.7V001.8V
28148004838902050330011.1V010.9V010.7V010.0V009.0V007.3V007.6V009.2V012.8V014.7V016.6V018.0V018.2V017.4V017.9V017.9V017.9V017.7V016.9V016.0V013.8V013.2V011.8V011.2V
2814800486890205033000057V00060V00059V00062V00065V00072V00070V00064V00052V00046V00039V00038V00040V00040V00040V00041V00043V00043V00046V00049V00056V00059V00064V00065V
2814800487890205033000935V00935V00935V00935V00935V00935V00935V00935V00936V00936V00936V00935V00935V00935V00935V00935V00935V00935V00935V00935V00936V00935V00936V00936V
2814800488890205033000004V00004V00004V00004V00004V00004V00023V00160V00330V00494V00645V00666V00461V00139V00109V00061V00045V00024V00006V00004V00004V00004V00004V00004V
